keyword,coefficient,abs_coef
스탠리,0.7860723110157327,0.7860723110157327
헬리오스,0.7667795707779186,0.7667795707779186
온도조절,0.589332013352678,0.589332013352678
액티브,0.587991008399343,0.587991008399343
액티브 쉐이커,0.587991008399343,0.587991008399343
그라울러,0.5823308431370481,0.5823308431370481
써모스 대용량,0.5685699806909698,0.5685699806909698
5l,0.5317137205868083,0.5317137205868083
코끼리,0.5166278941552243,0.5166278941552243
조지루시,0.5112963628503931,0.5112963628503931
스탠리 클래식,0.5049336508215789,0.5049336508215789
머그,0.48216781202849085,0.48216781202849085
보온통 보냉통,0.48119503902680844,0.48119503902680844
웨지우드,0.47842513483100896,0.47842513483100896
램블러,0.46963780527886745,0.46963780527886745
yeti,0.46963780527886745,0.46963780527886745
470ml,0.46202248530144263,0.46202248530144263
보온병 500ml,0.44353657540494956,0.44353657540494956
가열,0.4218853296637091,0.4218853296637091
700ml 1개,0.4039354713511126,0.4039354713511126
